"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
2,4,"1","11","49",-6,0,NA,NA,NA,NA,NA,0
3,5,"1","11","49",8,0,NA,NA,NA,NA,NA,0
4,6,"1","11","49",-11,0,NA,NA,NA,NA,NA,0
6,1,"1","11","49",370,1,355,0,15,0,0,0
7,2,"1","11","49",19,1,0,0,19,0,0,0
8,3,"1","11","49",-12,0,NA,NA,NA,NA,NA,0
9,4,"1","11","49",-8,0,NA,NA,NA,NA,NA,0
10,5,"1","11","49",-20,0,NA,NA,NA,NA,NA,0
11,6,"1","11","49",2,0,NA,NA,NA,NA,NA,0
13,1,"1","11","49",-18,0,NA,NA,NA,NA,NA,0
14,2,"1","11","49",NA,NA,NA,NA,NA,NA,NA,0
15,3,"1","11","49",-3,0,NA,NA,NA,NA,NA,0
16,4,"1","11","49",-5,0,NA,NA,NA,NA,NA,0
17,5,"1","11","49",-18,0,NA,NA,NA,NA,NA,0
18,6,"1","11","49",18,1,18,0,0,0,0,0
20,1,"1","11","49",249,1,234,0,15,0,0,0
21,2,"1","11","49",0,0,NA,NA,NA,NA,NA,0
22,3,"1","11","49",0,0,NA,NA,NA,NA,NA,0
23,4,"1","11","49",-15,0,NA,NA,NA,NA,NA,0
24,5,"1","11","49",NA,NA,NA,NA,NA,NA,NA,0
25,6,"1","11","49",-12,0,NA,NA,NA,NA,NA,0
27,1,"1","11","49",2,0,NA,NA,NA,NA,NA,0
28,2,"1","11","49",6,0,NA,NA,NA,NA,NA,0
29,3,"1","11","49",4,0,NA,NA,NA,NA,NA,0
30,4,"1","11","49",-11,0,NA,NA,NA,NA,NA,0
1,3,"1","49","51",-33,0,NA,NA,NA,NA,NA,0
2,4,"1","49","51",-22,0,NA,NA,NA,NA,NA,0
3,5,"1","49","51",-10,0,NA,NA,NA,NA,NA,0
4,6,"1","49","51",-16,0,NA,NA,NA,NA,NA,0
5,7,"1","49","51",20,1,0,0,20,0,0,0
6,1,"1","49","51",131,1,131,0,0,0,0,0
7,2,"1","49","51",-10,0,NA,NA,NA,NA,NA,0
8,3,"1","49","51",14,0,NA,NA,NA,NA,NA,0
9,4,"1","49","51",-1,0,NA,NA,NA,NA,NA,0
10,5,"1","49","51",-8,0,NA,NA,NA,NA,NA,0
11,6,"1","49","51",-40,0,NA,NA,NA,NA,NA,0
12,7,"1","49","51",-16,0,NA,NA,NA,NA,NA,0
13,1,"1","49","51",7,0,NA,NA,NA,NA,NA,0
14,2,"1","49","51",58,1,58,0,0,0,0,0
15,3,"1","49","51",158,1,120,0,4,0,34,0
16,4,"1","49","51",119,1,0,0,119,0,0,0
17,5,"1","49","51",-17,0,NA,NA,NA,NA,NA,0
18,6,"1","49","51",21,1,6,0,15,0,0,0
19,7,"1","49","51",-27,0,NA,NA,NA,NA,NA,0
20,1,"1","49","51",-39,0,NA,NA,NA,NA,NA,0
21,2,"1","49","51",35,1,0,0,35,0,0,0
22,3,"1","49","51",-10,0,NA,NA,NA,NA,NA,0
23,4,"1","49","51",14,0,NA,NA,NA,NA,NA,0
24,5,"1","49","51",21,1,21,0,0,0,0,0
25,6,"1","49","51",-36,0,NA,NA,NA,NA,NA,0
26,7,"1","49","51",20,1,1,0,0,0,19,0
27,1,"1","49","51",9,0,NA,NA,NA,NA,NA,0
28,2,"1","49","51",33,1,33,0,0,0,0,0
29,3,"1","49","51",0,0,NA,NA,NA,NA,NA,0
30,4,"1","49","51",-9,0,NA,NA,NA,NA,NA,0
1,3,"1","51","49",-5,0,NA,NA,NA,NA,NA,0
2,4,"1","51","49",9,0,NA,NA,NA,NA,NA,0
3,5,"1","51","49",32,1,0,0,32,0,0,0
4,6,"1","51","49",-5,0,NA,NA,NA,NA,NA,0
5,7,"1","51","49",172,1,0,0,172,0,0,0
6,1,"1","51","49",14,0,NA,NA,NA,NA,NA,0
7,2,"1","51","49",52,1,0,0,52,0,0,0
8,3,"1","51","49",11,0,NA,NA,NA,NA,NA,0
9,4,"1","51","49",-5,0,NA,NA,NA,NA,NA,0
10,5,"1","51","49",51,1,0,0,51,0,0,0
11,6,"1","51","49",-1,0,NA,NA,NA,NA,NA,0
12,7,"1","51","49",31,1,0,0,31,0,0,0
13,1,"1","51","49",-16,0,NA,NA,NA,NA,NA,0
14,2,"1","51","49",7,0,NA,NA,NA,NA,NA,0
15,3,"1","51","49",-3,0,NA,NA,NA,NA,NA,0
16,4,"1","51","49",306,1,0,0,306,0,0,0
17,5,"1","51","49",-7,0,NA,NA,NA,NA,NA,0
18,6,"1","51","49",-1,0,NA,NA,NA,NA,NA,0
19,7,"1","51","49",11,0,NA,NA,NA,NA,NA,0
20,1,"1","51","49",-7,0,NA,NA,NA,NA,NA,0
21,2,"1","51","49",323,1,322,0,1,0,0,0
22,3,"1","51","49",45,1,0,0,45,0,0,0
23,4,"1","51","49",100,1,0,0,100,0,0,0
24,5,"1","51","49",12,0,NA,NA,NA,NA,NA,0
25,6,"1","51","49",4,0,NA,NA,NA,NA,NA,0
26,7,"1","51","49",16,1,2,0,0,0,14,0
27,1,"1","51","49",4,0,NA,NA,NA,NA,NA,0
28,2,"1","51","49",36,1,0,0,36,0,0,0
