"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
2,4,"AA","BOS","JFK",-6,0,NA,NA,NA,NA,NA,0
3,5,"AA","BOS","JFK",8,0,NA,NA,NA,NA,NA,0
4,6,"AA","BOS","JFK",-11,0,NA,NA,NA,NA,NA,0
6,1,"AA","BOS","JFK",370,1,355,0,15,0,0,0
7,2,"AA","BOS","JFK",19,1,0,0,19,0,0,0
8,3,"AA","BOS","JFK",-12,0,NA,NA,NA,NA,NA,0
9,4,"AA","BOS","JFK",-8,0,NA,NA,NA,NA,NA,0
10,5,"AA","BOS","JFK",-20,0,NA,NA,NA,NA,NA,0
11,6,"AA","BOS","JFK",2,0,NA,NA,NA,NA,NA,0
13,1,"AA","BOS","JFK",-18,0,NA,NA,NA,NA,NA,0
14,2,"AA","BOS","JFK",NA,NA,NA,NA,NA,NA,NA,0
15,3,"AA","BOS","JFK",-3,0,NA,NA,NA,NA,NA,0
16,4,"AA","BOS","JFK",-5,0,NA,NA,NA,NA,NA,0
17,5,"AA","BOS","JFK",-18,0,NA,NA,NA,NA,NA,0
18,6,"AA","BOS","JFK",18,1,18,0,0,0,0,0
20,1,"AA","BOS","JFK",249,1,234,0,15,0,0,0
21,2,"AA","BOS","JFK",0,0,NA,NA,NA,NA,NA,0
22,3,"AA","BOS","JFK",0,0,NA,NA,NA,NA,NA,0
23,4,"AA","BOS","JFK",-15,0,NA,NA,NA,NA,NA,0
24,5,"AA","BOS","JFK",NA,NA,NA,NA,NA,NA,NA,0
25,6,"AA","BOS","JFK",-12,0,NA,NA,NA,NA,NA,0
27,1,"AA","BOS","JFK",2,0,NA,NA,NA,NA,NA,0
28,2,"AA","BOS","JFK",6,0,NA,NA,NA,NA,NA,0
29,3,"AA","BOS","JFK",4,0,NA,NA,NA,NA,NA,0
30,4,"AA","BOS","JFK",-11,0,NA,NA,NA,NA,NA,0
1,3,"AA","JFK","LAX",-33,0,NA,NA,NA,NA,NA,0
2,4,"AA","JFK","LAX",-22,0,NA,NA,NA,NA,NA,0
3,5,"AA","JFK","LAX",-10,0,NA,NA,NA,NA,NA,0
4,6,"AA","JFK","LAX",-16,0,NA,NA,NA,NA,NA,0
5,7,"AA","JFK","LAX",20,1,0,0,20,0,0,0
6,1,"AA","JFK","LAX",131,1,131,0,0,0,0,0
