"DAY_OF_MONTH","CARRIER","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","ARR_DELAY","ARR_DEL15","CANCELLED","DIVERTED","FLIGHTS","FL_NUM","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
1,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-33,0,0,0,1,44,NA,NA,NA,NA,NA,0
2,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-32,0,0,0,1,44,NA,NA,NA,NA,NA,0
3,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",29,1,0,0,1,44,0,0,29,0,0,0
4,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-27,0,0,0,1,44,NA,NA,NA,NA,NA,0
5,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",14,0,0,0,1,44,NA,NA,NA,NA,NA,0
6,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-24,0,0,0,1,44,NA,NA,NA,NA,NA,0
7,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",3,0,0,0,1,44,NA,NA,NA,NA,NA,0
8,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-2,0,0,0,1,44,NA,NA,NA,NA,NA,0
9,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-9,0,0,0,1,44,NA,NA,NA,NA,NA,0
10,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-19,0,0,0,1,44,NA,NA,NA,NA,NA,0
11,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",170,1,0,0,1,44,0,0,0,0,170,0
12,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-12,0,0,0,1,44,NA,NA,NA,NA,NA,0
13,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-22,0,0,0,1,44,NA,NA,NA,NA,NA,0
14,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-27,0,0,0,1,44,NA,NA,NA,NA,NA,0
15,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",172,1,0,0,1,44,49,0,123,0,0,0
16,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",NA,NA,0,1,1,44,NA,NA,NA,NA,NA,1
17,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-35,0,0,0,1,44,NA,NA,NA,NA,NA,0
18,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-30,0,0,0,1,44,NA,NA,NA,NA,NA,0
19,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-25,0,0,0,1,44,NA,NA,NA,NA,NA,0
20,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-7,0,0,0,1,44,NA,NA,NA,NA,NA,0
21,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-26,0,0,0,1,44,NA,NA,NA,NA,NA,0
22,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-17,0,0,0,1,44,NA,NA,NA,NA,NA,0
23,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",12,0,0,0,1,44,NA,NA,NA,NA,NA,0
24,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",36,1,0,0,1,44,0,0,36,0,0,0
25,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-6,0,0,0,1,44,NA,NA,NA,NA,NA,0
26,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-24,0,0,0,1,44,NA,NA,NA,NA,NA,0
27,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",5,0,0,0,1,44,NA,NA,NA,NA,NA,0
28,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-29,0,0,0,1,44,NA,NA,NA,NA,NA,0
29,"AA",14747,1474703,30559,"SEA",12478,1247803,31703,"JFK",-19,0,0,0,1,44,NA,NA,NA,NA,NA,0
1,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",11,0,0,0,1,45,NA,NA,NA,NA,NA,0
2,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",-1,0,0,0,1,45,NA,NA,NA,NA,NA,0
3,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",-1,0,0,0,1,45,NA,NA,NA,NA,NA,0
4,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",0,0,0,0,1,45,NA,NA,NA,NA,NA,0
5,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",197,1,0,0,1,45,0,19,2,0,176,0
6,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",-4,0,0,0,1,45,NA,NA,NA,NA,NA,0
7,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",-31,0,0,0,1,45,NA,NA,NA,NA,NA,0
8,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",4,0,0,0,1,45,NA,NA,NA,NA,NA,0
9,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",4,0,0,0,1,45,NA,NA,NA,NA,NA,0
10,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",757,1,0,0,1,45,743,0,0,0,14,0
11,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",77,1,0,0,1,45,0,0,26,18,33,0
12,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",58,1,0,0,1,45,34,0,24,0,0,0
13,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",42,1,0,0,1,45,9,0,33,0,0,0
14,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",9,0,0,0,1,45,NA,NA,NA,NA,NA,0
15,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",142,1,0,0,1,45,0,56,20,0,66,0
16,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",110,1,0,0,1,45,13,0,10,0,87,0
17,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",56,1,0,0,1,45,44,0,10,0,2,0
18,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",1,0,0,0,1,45,NA,NA,NA,NA,NA,0
19,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",-16,0,0,0,1,45,NA,NA,NA,NA,NA,0
20,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",12,0,0,0,1,45,NA,NA,NA,NA,NA,0
21,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",-9,0,0,0,1,45,NA,NA,NA,NA,NA,0
22,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",-5,0,0,0,1,45,NA,NA,NA,NA,NA,0
23,"AA",12478,1247803,31703,"JFK",14747,1474703,30559,"SEA",30,1,0,0,1,45,11,0,19,0,0,0
