"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
2,"1",1,"11","49",0
3,"1",1,"11","49",0
4,"1",1,"11","49",0
6,"1",1,"11","49",1
7,"1",1,"11","49",1
8,"1",1,"11","49",0
9,"1",1,"11","49",0
10,"1",1,"11","49",0
11,"1",1,"11","49",0
13,"1",1,"11","49",0
14,"1",1,"11","49",NA
15,"1",1,"11","49",0
16,"1",1,"11","49",0
17,"1",1,"11","49",0
18,"1",1,"11","49",1
20,"1",1,"11","49",1
21,"1",1,"11","49",0
22,"1",1,"11","49",0
23,"1",1,"11","49",0
24,"1",1,"11","49",NA
25,"1",1,"11","49",0
27,"1",1,"11","49",0
28,"1",1,"11","49",0
29,"1",1,"11","49",0
30,"1",1,"11","49",0
1,"1",1,"49","51",0
2,"1",1,"49","51",0
3,"1",1,"49","51",0
4,"1",1,"49","51",0
5,"1",1,"49","51",1
6,"1",1,"49","51",1
7,"1",1,"49","51",0
8,"1",1,"49","51",0
9,"1",1,"49","51",0
10,"1",1,"49","51",0
11,"1",1,"49","51",0
12,"1",1,"49","51",0
13,"1",1,"49","51",0
14,"1",1,"49","51",1
15,"1",1,"49","51",1
16,"1",1,"49","51",1
17,"1",1,"49","51",0
18,"1",1,"49","51",1
19,"1",1,"49","51",0
20,"1",1,"49","51",0
21,"1",1,"49","51",1
22,"1",1,"49","51",0
23,"1",1,"49","51",0
24,"1",1,"49","51",1
25,"1",1,"49","51",0
26,"1",1,"49","51",1
27,"1",1,"49","51",0
28,"1",1,"49","51",1
29,"1",1,"49","51",0
30,"1",1,"49","51",0
1,"1",2,"51","49",0
2,"1",2,"51","49",0
3,"1",2,"51","49",1
4,"1",2,"51","49",0
5,"1",2,"51","49",1
6,"1",2,"51","49",0
7,"1",2,"51","49",1
8,"1",2,"51","49",0
9,"1",2,"51","49",0
10,"1",2,"51","49",1
11,"1",2,"51","49",0
12,"1",2,"51","49",1
13,"1",2,"51","49",0
14,"1",2,"51","49",0
15,"1",2,"51","49",0
16,"1",2,"51","49",1
17,"1",2,"51","49",0
18,"1",2,"51","49",0
19,"1",2,"51","49",0
20,"1",2,"51","49",0
21,"1",2,"51","49",1
22,"1",2,"51","49",1
23,"1",2,"51","49",1
24,"1",2,"51","49",0
25,"1",2,"51","49",0
26,"1",2,"51","49",1
27,"1",2,"51","49",0
28,"1",2,"51","49",1
29,"1",2,"51","49",1
30,"1",2,"51","49",1
1,"1",3,"49","51",1
2,"1",3,"49","51",0
3,"1",3,"49","51",0
4,"1",3,"49","51",0
5,"1",3,"49","51",0
6,"1",3,"49","51",0
7,"1",3,"49","51",0
8,"1",3,"49","51",0
9,"1",3,"49","51",0
10,"1",3,"49","51",0
11,"1",3,"49","51",0
12,"1",3,"49","51",0
13,"1",3,"49","51",0
14,"1",3,"49","51",0
15,"1",3,"49","51",0
16,"1",3,"49","51",1
17,"1",3,"49","51",0
18,"1",3,"49","51",0
19,"1",3,"49","51",0
20,"1",3,"49","51",0
21,"1",3,"49","51",0
22,"1",3,"49","51",0
23,"1",3,"49","51",1
24,"1",3,"49","51",1
25,"1",3,"49","51",0
26,"1",3,"49","51",0
27,"1",3,"49","51",1
28,"1",3,"49","51",0
29,"1",3,"49","51",1
30,"1",3,"49","51",0
1,"1",4,"51","49",0
2,"1",4,"51","49",1
3,"1",4,"51","49",0
5,"1",4,"51","49",1
6,"1",4,"51","49",1
7,"1",4,"51","49",0
8,"1",4,"51","49",0
9,"1",4,"51","49",0
10,"1",4,"51","49",1
12,"1",4,"51","49",1
13,"1",4,"51","49",0
14,"1",4,"51","49",0
15,"1",4,"51","49",0
16,"1",4,"51","49",1
17,"1",4,"51","49",0
19,"1",4,"51","49",1
20,"1",4,"51","49",0
21,"1",4,"51","49",0
22,"1",4,"51","49",1
23,"1",4,"51","49",1
24,"1",4,"51","49",0
26,"1",4,"51","49",1
27,"1",4,"51","49",0
28,"1",4,"51","49",1
29,"1",4,"51","49",1
30,"1",4,"51","49",0
1,"1",9,"49","88",0
2,"1",9,"49","88",0
3,"1",9,"49","88",0
4,"1",9,"49","88",0
5,"1",9,"49","88",0
6,"1",9,"49","88",0
7,"1",9,"49","88",0
8,"1",9,"49","88",0
9,"1",9,"49","88",0
10,"1",9,"49","88",0
11,"1",9,"49","88",0
12,"1",9,"49","88",0
13,"1",9,"49","88",0
14,"1",9,"49","88",0
15,"1",9,"49","88",0
16,"1",9,"49","88",1
17,"1",9,"49","88",0
18,"1",9,"49","88",0
19,"1",9,"49","88",0
20,"1",9,"49","88",0
21,"1",9,"49","88",0
22,"1",9,"49","88",0
23,"1",9,"49","88",1
24,"1",9,"49","88",0
25,"1",9,"49","88",0
26,"1",9,"49","88",0
27,"1",9,"49","88",0
28,"1",9,"49","88",0
29,"1",9,"49","88",0
30,"1",9,"49","88",0
1,"1",10,"51","49",0
2,"1",10,"51","49",0
3,"1",10,"51","49",1
4,"1",10,"51","49",1
5,"1",10,"51","49",1
6,"1",10,"51","49",1
7,"1",10,"51","49",0
8,"1",10,"51","49",0
9,"1",10,"51","49",0
10,"1",10,"51","49",1
11,"1",10,"51","49",1
12,"1",10,"51","49",1
13,"1",10,"51","49",1
14,"1",10,"51","49",0
15,"1",10,"51","49",0
16,"1",10,"51","49",1
17,"1",10,"51","49",0
