"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
1,"1",44,"61","30",0
2,"1",44,"61","30",0
3,"1",44,"61","30",1
4,"1",44,"61","30",0
5,"1",44,"61","30",0
6,"1",44,"61","30",0
7,"1",44,"61","30",0
8,"1",44,"61","30",0
9,"1",44,"61","30",0
10,"1",44,"61","30",0
11,"1",44,"61","30",1
12,"1",44,"61","30",0
13,"1",44,"61","30",0
14,"1",44,"61","30",0
15,"1",44,"61","30",1
16,"1",44,"61","30",NA
17,"1",44,"61","30",0
18,"1",44,"61","30",0
19,"1",44,"61","30",0
20,"1",44,"61","30",0
21,"1",44,"61","30",0
22,"1",44,"61","30",0
23,"1",44,"61","30",0
24,"1",44,"61","30",1
25,"1",44,"61","30",0
26,"1",44,"61","30",0
27,"1",44,"61","30",0
28,"1",44,"61","30",0
29,"1",44,"61","30",0
1,"1",45,"30","61",0
2,"1",45,"30","61",0
3,"1",45,"30","61",0
4,"1",45,"30","61",0
5,"1",45,"30","61",1
6,"1",45,"30","61",0
7,"1",45,"30","61",0
8,"1",45,"30","61",0
9,"1",45,"30","61",0
10,"1",45,"30","61",1
11,"1",45,"30","61",1
12,"1",45,"30","61",1
13,"1",45,"30","61",1
14,"1",45,"30","61",0
15,"1",45,"30","61",1
16,"1",45,"30","61",1
17,"1",45,"30","61",1
18,"1",45,"30","61",0
19,"1",45,"30","61",0
20,"1",45,"30","61",0
21,"1",45,"30","61",0
22,"1",45,"30","61",0
23,"1",45,"30","61",1
24,"1",45,"30","61",0
25,"1",45,"30","61",1
26,"1",45,"30","61",0
27,"1",45,"30","61",0
28,"1",45,"30","61",0
29,"1",45,"30","61",0
1,"1",184,"18","61",0
2,"1",184,"18","61",0
3,"1",184,"18","61",0
4,"1",184,"18","61",0
5,"1",184,"18","61",0
6,"1",184,"18","61",0
7,"1",184,"18","61",0
8,"1",184,"18","61",0
9,"1",184,"18","61",0
10,"1",184,"18","61",0
11,"1",184,"18","61",0
12,"1",184,"18","61",0
13,"1",184,"18","61",0
14,"1",184,"18","61",1
15,"1",184,"18","61",1
16,"1",184,"18","61",0
17,"1",184,"18","61",0
18,"1",184,"18","61",0
19,"1",184,"18","61",0
20,"1",184,"18","61",0
21,"1",184,"18","61",0
22,"1",184,"18","61",0
23,"1",184,"18","61",0
24,"1",184,"18","61",1
25,"1",184,"18","61",0
26,"1",184,"18","61",1
27,"1",184,"18","61",0
28,"1",184,"18","61",0
29,"1",184,"18","61",0
11,"1",278,"54","61",0
12,"1",278,"54","61",0
13,"1",278,"54","61",0
14,"1",278,"54","61",1
15,"1",278,"54","61",0
16,"1",278,"54","61",0
17,"1",278,"54","61",0
18,"1",278,"54","61",0
19,"1",278,"54","61",0
20,"1",278,"54","61",0
21,"1",278,"54","61",0
22,"1",278,"54","61",1
23,"1",278,"54","61",1
24,"1",278,"54","61",1
25,"1",278,"54","61",0
26,"1",278,"54","61",0
27,"1",278,"54","61",0
28,"1",278,"54","61",0
29,"1",278,"54","61",1
1,"1",134,"41","61",0
2,"1",134,"41","61",0
3,"1",134,"41","61",1
4,"1",134,"41","61",0
5,"1",134,"41","61",0
6,"1",134,"41","61",0
7,"1",134,"41","61",0
8,"1",134,"41","61",0
9,"1",134,"41","61",0
10,"1",134,"41","61",0
11,"1",134,"41","61",0
12,"1",134,"41","61",0
13,"1",134,"41","61",0
14,"1",134,"41","61",1
15,"1",134,"41","61",1
16,"1",134,"41","61",1
17,"1",134,"41","61",0
18,"1",134,"41","61",1
19,"1",134,"41","61",0
20,"1",134,"41","61",0
21,"1",134,"41","61",0
22,"1",134,"41","61",0
23,"1",134,"41","61",0
24,"1",134,"41","61",0
25,"1",134,"41","61",0
26,"1",134,"41","61",0
27,"1",134,"41","61",1
28,"1",134,"41","61",1
29,"1",134,"41","61",0
1,"1",143,"61","18",0
2,"1",143,"61","18",0
3,"1",143,"61","18",0
4,"1",143,"61","18",0
5,"1",143,"61","18",0
6,"1",143,"61","18",0
7,"1",143,"61","18",0
8,"1",143,"61","18",0
9,"1",143,"61","18",0
10,"1",143,"61","18",0
11,"1",143,"61","18",0
12,"1",143,"61","18",1
13,"1",143,"61","18",0
14,"1",143,"61","18",0
15,"1",143,"61","18",0
16,"1",143,"61","18",0
17,"1",143,"61","18",0
18,"1",143,"61","18",0
19,"1",143,"61","18",0
20,"1",143,"61","18",0
21,"1",143,"61","18",0
22,"1",143,"61","18",0
23,"1",143,"61","18",0
24,"1",143,"61","18",0
25,"1",143,"61","18",0
26,"1",143,"61","18",0
27,"1",143,"61","18",0
28,"1",143,"61","18",0
29,"1",143,"61","18",0
11,"1",907,"61","54",0
12,"1",907,"61","54",1
11,"1",1053,"54","61",0
12,"1",1053,"54","61",0
1,"1",986,"18","61",0
2,"1",986,"18","61",0
3,"1",986,"18","61",0
4,"1",986,"18","61",0
5,"1",986,"18","61",0
6,"1",986,"18","61",0
7,"1",986,"18","61",1
8,"1",986,"18","61",0
9,"1",986,"18","61",0
10,"1",986,"18","61",0
11,"1",986,"18","61",0
12,"1",986,"18","61",0
13,"1",986,"18","61",0
14,"1",986,"18","61",0
15,"1",986,"18","61",1
16,"1",986,"18","61",0
17,"1",986,"18","61",0
18,"1",986,"18","61",1
19,"1",986,"18","61",0
20,"1",986,"18","61",0
21,"1",986,"18","61",0
22,"1",986,"18","61",0
23,"1",986,"18","61",0
24,"1",986,"18","61",1
25,"1",986,"18","61",0
26,"1",986,"18","61",0
27,"1",986,"18","61",1
28,"1",986,"18","61",0
29,"1",986,"18","61",0
1,"1",1070,"61","41",0
2,"1",1070,"61","41",0
3,"1",1070,"61","41",0
4,"1",1070,"61","41",0
5,"1",1070,"61","41",1
6,"1",1070,"61","41",0
7,"1",1070,"61","41",0
8,"1",1070,"61","41",0
9,"1",1070,"61","41",0
10,"1",1070,"61","41",0
11,"1",1070,"61","41",0
12,"1",1070,"61","41",0
13,"1",1070,"61","41",0
14,"1",1070,"61","41",0
15,"1",1070,"61","41",0
16,"1",1070,"61","41",0
17,"1",1070,"61","41",0
18,"1",1070,"61","41",0
19,"1",1070,"61","41",0
20,"1",1070,"61","41",0
21,"1",1070,"61","41",0
22,"1",1070,"61","41",0
23,"1",1070,"61","41",0
24,"1",1070,"61","41",0
25,"1",1070,"61","41",0
26,"1",1070,"61","41",0
27,"1",1070,"61","41",0
28,"1",1070,"61","41",1
29,"1",1070,"61","41",0
1,"1",1223,"18","61",0
2,"1",1223,"18","61",0
3,"1",1223,"18","61",0
4,"1",1223,"18","61",1
5,"1",1223,"18","61",1
6,"1",1223,"18","61",0
7,"1",1223,"18","61",0
8,"1",1223,"18","61",0
9,"1",1223,"18","61",1
10,"1",1223,"18","61",0
1,"1",1228,"61","18",0
2,"1",1228,"61","18",0
3,"1",1228,"61","18",0
4,"1",1228,"61","18",1
5,"1",1228,"61","18",0
6,"1",1228,"61","18",0
7,"1",1228,"61","18",0
8,"1",1228,"61","18",0
9,"1",1228,"61","18",0
10,"1",1228,"61","18",0
11,"1",1228,"61","18",0
12,"1",1228,"61","18",0
13,"1",1228,"61","18",0
14,"1",1228,"61","18",0
15,"1",1228,"61","18",0
16,"1",1228,"61","18",0
17,"1",1228,"61","18",0
18,"1",1228,"61","18",0
19,"1",1228,"61","18",0
20,"1",1228,"61","18",0
21,"1",1228,"61","18",0
22,"1",1228,"61","18",0
23,"1",1228,"61","18",0
24,"1",1228,"61","18",0
25,"1",1228,"61","18",0
26,"1",1228,"61","18",0
27,"1",1228,"61","18",0
28,"1",1228,"61","18",0
29,"1",1228,"61","18",0
1,"1",1230,"61","18",0
2,"1",1230,"61","18",0
3,"1",1230,"61","18",0
4,"1",1230,"61","18",0
5,"1",1230,"61","18",0
6,"1",1230,"61","18",0
8,"1",1230,"61","18",0
9,"1",1230,"61","18",0
10,"1",1230,"61","18",0
11,"1",1230,"61","18",0
12,"1",1230,"61","18",0
13,"1",1230,"61","18",0
14,"1",1230,"61","18",0
15,"1",1230,"61","18",0
16,"1",1230,"61","18",0
17,"1",1230,"61","18",0
18,"1",1230,"61","18",0
19,"1",1230,"61","18",0
20,"1",1230,"61","18",0
21,"1",1230,"61","18",0
22,"1",1230,"61","18",0
23,"1",1230,"61","18",0
24,"1",1230,"61","18",0
25,"1",1230,"61","18",0
26,"1",1230,"61","18",0
27,"1",1230,"61","18",0
28,"1",1230,"61","18",0
29,"1",1230,"61","18",0
1,"1",1239,"51","61",0
2,"1",1239,"51","61",0
3,"1",1239,"51","61",0
4,"1",1239,"51","61",0
5,"1",1239,"51","61",0
6,"1",1239,"51","61",0
7,"1",1239,"51","61",1
8,"1",1239,"51","61",1
9,"1",1239,"51","61",0
10,"1",1239,"51","61",1
11,"1",1239,"51","61",0
12,"1",1239,"51","61",1
13,"1",1239,"51","61",1
14,"1",1239,"51","61",0
15,"1",1239,"51","61",0
16,"1",1239,"51","61",0
17,"1",1239,"51","61",1
18,"1",1239,"51","61",0
19,"1",1239,"51","61",1
20,"1",1239,"51","61",0
21,"1",1239,"51","61",0
22,"1",1239,"51","61",0
23,"1",1239,"51","61",0
24,"1",1239,"51","61",0
25,"1",1239,"51","61",0
26,"1",1239,"51","61",1
27,"1",1239,"51","61",0
28,"1",1239,"51","61",0
29,"1",1239,"51","61",0
1,"1",1239,"61","51",0
2,"1",1239,"61","51",1
3,"1",1239,"61","51",0
4,"1",1239,"61","51",0
5,"1",1239,"61","51",0
6,"1",1239,"61","51",0
7,"1",1239,"61","51",1
8,"1",1239,"61","51",1
9,"1",1239,"61","51",0
10,"1",1239,"61","51",0
11,"1",1239,"61","51",0
12,"1",1239,"61","51",1
13,"1",1239,"61","51",1
14,"1",1239,"61","51",1
15,"1",1239,"61","51",0
16,"1",1239,"61","51",0
17,"1",1239,"61","51",0
18,"1",1239,"61","51",0
19,"1",1239,"61","51",1
20,"1",1239,"61","51",0
21,"1",1239,"61","51",0
22,"1",1239,"61","51",0
23,"1",1239,"61","51",0
24,"1",1239,"61","51",0
25,"1",1239,"61","51",0
26,"1",1239,"61","51",1
27,"1",1239,"61","51",0
28,"1",1239,"61","51",0
29,"1",1239,"61","51",0
11,"1",1262,"61","54",0
12,"1",1262,"61","54",0
13,"1",1262,"61","54",0
