"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
1,"9E",3324,"DFW","JFK",1
2,"9E",3324,"DFW","JFK",1
3,"9E",3324,"DFW","JFK",0
4,"9E",3324,"DFW","JFK",1
5,"9E",3324,"DFW","JFK",1
6,"9E",3324,"DFW","JFK",1
7,"9E",3324,"DFW","JFK",NA
8,"9E",3324,"DFW","JFK",1
9,"9E",3324,"DFW","JFK",1
10,"9E",3324,"DFW","JFK",0
11,"9E",3324,"DFW","JFK",0
12,"9E",3324,"DFW","JFK",1
13,"9E",3324,"DFW","JFK",1
14,"9E",3324,"DFW","JFK",0
16,"9E",3324,"DFW","JFK",0
17,"9E",3324,"DFW","JFK",1
18,"9E",3324,"DFW","JFK",0
19,"9E",3324,"DFW","JFK",0
20,"9E",3324,"DFW","JFK",0
21,"9E",3324,"DFW","JFK",0
23,"9E",3324,"DFW","JFK",0
24,"9E",3324,"DFW","JFK",NA
25,"9E",3324,"DFW","JFK",0
26,"9E",3324,"DFW","JFK",1
27,"9E",3324,"DFW","JFK",1
28,"9E",3324,"DFW","JFK",0
30,"9E",3324,"DFW","JFK",1
1,"9E",3325,"JFK","DFW",1
2,"9E",3325,"JFK","DFW",NA
3,"9E",3325,"JFK","DFW",0
4,"9E",3325,"JFK","DFW",0
5,"9E",3325,"JFK","DFW",0
6,"9E",3325,"JFK","DFW",0
7,"9E",3325,"JFK","DFW",1
8,"9E",3325,"JFK","DFW",0
9,"9E",3325,"JFK","DFW",0
10,"9E",3325,"JFK","DFW",1
11,"9E",3325,"JFK","DFW",0
12,"9E",3325,"JFK","DFW",0
13,"9E",3325,"JFK","DFW",1
14,"9E",3325,"JFK","DFW",1
15,"9E",3325,"JFK","DFW",1
16,"9E",3325,"JFK","DFW",1
17,"9E",3325,"JFK","DFW",1
18,"9E",3325,"JFK","DFW",1
19,"9E",3325,"JFK","DFW",1
20,"9E",3325,"JFK","DFW",0
21,"9E",3325,"JFK","DFW",0
22,"9E",3325,"JFK","DFW",0
23,"9E",3325,"JFK","DFW",0
24,"9E",3325,"JFK","DFW",1
25,"9E",3325,"JFK","DFW",1
26,"9E",3325,"JFK","DFW",0
27,"9E",3325,"JFK","DFW",NA
28,"9E",3325,"JFK","DFW",1
29,"9E",3325,"JFK","DFW",0
30,"9E",3325,"JFK","DFW",1
10,"9E",3326,"STL","JFK",0
11,"9E",3326,"STL","JFK",0
12,"9E",3326,"STL","JFK",0
13,"9E",3326,"STL","JFK",1
14,"9E",3326,"STL","JFK",0
16,"9E",3326,"STL","JFK",0
17,"9E",3326,"STL","JFK",1
18,"9E",3326,"STL","JFK",0
19,"9E",3326,"STL","JFK",0
20,"9E",3326,"STL","JFK",0
21,"9E",3326,"STL","JFK",0
23,"9E",3326,"STL","JFK",1
24,"9E",3326,"STL","JFK",0
25,"9E",3326,"STL","JFK",0
26,"9E",3326,"STL","JFK",0
27,"9E",3326,"STL","JFK",0
28,"9E",3326,"STL","JFK",NA
30,"9E",3326,"STL","JFK",0
11,"9E",3333,"BOS","JFK",0
12,"9E",3333,"BOS","JFK",0
13,"9E",3333,"BOS","JFK",0
14,"9E",3333,"BOS","JFK",0
15,"9E",3333,"BOS","JFK",0
16,"9E",3333,"BOS","JFK",0
17,"9E",3333,"BOS","JFK",0
18,"9E",3333,"BOS","JFK",0
19,"9E",3333,"BOS","JFK",0
20,"9E",3333,"BOS","JFK",0
21,"9E",3333,"BOS","JFK",0
22,"9E",3333,"BOS","JFK",0
23,"9E",3333,"BOS","JFK",0
24,"9E",3333,"BOS","JFK",0
25,"9E",3333,"BOS","JFK",0
26,"9E",3333,"BOS","JFK",0
27,"9E",3333,"BOS","JFK",0
28,"9E",3333,"BOS","JFK",1
29,"9E",3333,"BOS","JFK",0
30,"9E",3333,"BOS","JFK",0
1,"9E",3334,"JFK","PIT",0
8,"9E",3334,"JFK","PIT",0
2,"9E",3339,"CVG","JFK",1
3,"9E",3339,"CVG","JFK",0
4,"9E",3339,"CVG","JFK",0
5,"9E",3339,"CVG","JFK",0
6,"9E",3339,"CVG","JFK",0
7,"9E",3339,"CVG","JFK",1
9,"9E",3339,"CVG","JFK",0
10,"9E",3339,"CVG","JFK",1
11,"9E",3339,"CVG","JFK",1
12,"9E",3339,"CVG","JFK",0
13,"9E",3339,"CVG","JFK",1
14,"9E",3339,"CVG","JFK",0
