"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
2,"AA",1,"BOS","JFK",0
3,"AA",1,"BOS","JFK",0
4,"AA",1,"BOS","JFK",0
6,"AA",1,"BOS","JFK",1
7,"AA",1,"BOS","JFK",1
8,"AA",1,"BOS","JFK",0
9,"AA",1,"BOS","JFK",0
10,"AA",1,"BOS","JFK",0
11,"AA",1,"BOS","JFK",0
13,"AA",1,"BOS","JFK",0
14,"AA",1,"BOS","JFK",NA
15,"AA",1,"BOS","JFK",0
16,"AA",1,"BOS","JFK",0
17,"AA",1,"BOS","JFK",0
18,"AA",1,"BOS","JFK",1
20,"AA",1,"BOS","JFK",1
21,"AA",1,"BOS","JFK",0
22,"AA",1,"BOS","JFK",0
23,"AA",1,"BOS","JFK",0
24,"AA",1,"BOS","JFK",NA
25,"AA",1,"BOS","JFK",0
27,"AA",1,"BOS","JFK",0
28,"AA",1,"BOS","JFK",0
29,"AA",1,"BOS","JFK",0
30,"AA",1,"BOS","JFK",0
1,"AA",1,"JFK","LAX",0
2,"AA",1,"JFK","LAX",0
3,"AA",1,"JFK","LAX",0
4,"AA",1,"JFK","LAX",0
5,"AA",1,"JFK","LAX",1
6,"AA",1,"JFK","LAX",1
7,"AA",1,"JFK","LAX",0
8,"AA",1,"JFK","LAX",0
9,"AA",1,"JFK","LAX",0
10,"AA",1,"JFK","LAX",0
11,"AA",1,"JFK","LAX",0
12,"AA",1,"JFK","LAX",0
13,"AA",1,"JFK","LAX",0
14,"AA",1,"JFK","LAX",1
15,"AA",1,"JFK","LAX",1
16,"AA",1,"JFK","LAX",1
17,"AA",1,"JFK","LAX",0
18,"AA",1,"JFK","LAX",1
19,"AA",1,"JFK","LAX",0
20,"AA",1,"JFK","LAX",0
21,"AA",1,"JFK","LAX",1
22,"AA",1,"JFK","LAX",0
23,"AA",1,"JFK","LAX",0
24,"AA",1,"JFK","LAX",1
25,"AA",1,"JFK","LAX",0
26,"AA",1,"JFK","LAX",1
27,"AA",1,"JFK","LAX",0
