"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
1,"AA",44,"SEA","JFK",0
2,"AA",44,"SEA","JFK",0
3,"AA",44,"SEA","JFK",1
4,"AA",44,"SEA","JFK",0
5,"AA",44,"SEA","JFK",0
6,"AA",44,"SEA","JFK",0
7,"AA",44,"SEA","JFK",0
8,"AA",44,"SEA","JFK",0
9,"AA",44,"SEA","JFK",0
10,"AA",44,"SEA","JFK",0
11,"AA",44,"SEA","JFK",1
12,"AA",44,"SEA","JFK",0
13,"AA",44,"SEA","JFK",0
14,"AA",44,"SEA","JFK",0
15,"AA",44,"SEA","JFK",1
16,"AA",44,"SEA","JFK",NA
17,"AA",44,"SEA","JFK",0
18,"AA",44,"SEA","JFK",0
19,"AA",44,"SEA","JFK",0
20,"AA",44,"SEA","JFK",0
21,"AA",44,"SEA","JFK",0
22,"AA",44,"SEA","JFK",0
23,"AA",44,"SEA","JFK",0
24,"AA",44,"SEA","JFK",1
25,"AA",44,"SEA","JFK",0
26,"AA",44,"SEA","JFK",0
27,"AA",44,"SEA","JFK",0
28,"AA",44,"SEA","JFK",0
29,"AA",44,"SEA","JFK",0
1,"AA",45,"JFK","SEA",0
2,"AA",45,"JFK","SEA",0
3,"AA",45,"JFK","SEA",0
4,"AA",45,"JFK","SEA",0
5,"AA",45,"JFK","SEA",1
6,"AA",45,"JFK","SEA",0
7,"AA",45,"JFK","SEA",0
8,"AA",45,"JFK","SEA",0
9,"AA",45,"JFK","SEA",0
10,"AA",45,"JFK","SEA",1
11,"AA",45,"JFK","SEA",1
12,"AA",45,"JFK","SEA",1
13,"AA",45,"JFK","SEA",1
14,"AA",45,"JFK","SEA",0
15,"AA",45,"JFK","SEA",1
16,"AA",45,"JFK","SEA",1
17,"AA",45,"JFK","SEA",1
18,"AA",45,"JFK","SEA",0
19,"AA",45,"JFK","SEA",0
20,"AA",45,"JFK","SEA",0
21,"AA",45,"JFK","SEA",0
22,"AA",45,"JFK","SEA",0
23,"AA",45,"JFK","SEA",1
24,"AA",45,"JFK","SEA",0
25,"AA",45,"JFK","SEA",1
26,"AA",45,"JFK","SEA",0
27,"AA",45,"JFK","SEA",0
28,"AA",45,"JFK","SEA",0
29,"AA",45,"JFK","SEA",0
1,"AA",184,"DFW","SEA",0
2,"AA",184,"DFW","SEA",0
3,"AA",184,"DFW","SEA",0
4,"AA",184,"DFW","SEA",0
5,"AA",184,"DFW","SEA",0
6,"AA",184,"DFW","SEA",0
7,"AA",184,"DFW","SEA",0
8,"AA",184,"DFW","SEA",0
9,"AA",184,"DFW","SEA",0
10,"AA",184,"DFW","SEA",0
11,"AA",184,"DFW","SEA",0
12,"AA",184,"DFW","SEA",0
13,"AA",184,"DFW","SEA",0
14,"AA",184,"DFW","SEA",1
15,"AA",184,"DFW","SEA",1
16,"AA",184,"DFW","SEA",0
17,"AA",184,"DFW","SEA",0
18,"AA",184,"DFW","SEA",0
19,"AA",184,"DFW","SEA",0
20,"AA",184,"DFW","SEA",0
21,"AA",184,"DFW","SEA",0
22,"AA",184,"DFW","SEA",0
23,"AA",184,"DFW","SEA",0
24,"AA",184,"DFW","SEA",1
25,"AA",184,"DFW","SEA",0
26,"AA",184,"DFW","SEA",1
27,"AA",184,"DFW","SEA",0
28,"AA",184,"DFW","SEA",0
29,"AA",184,"DFW","SEA",0
11,"AA",278,"PHX","SEA",0
12,"AA",278,"PHX","SEA",0
13,"AA",278,"PHX","SEA",0
14,"AA",278,"PHX","SEA",1
15,"AA",278,"PHX","SEA",0
16,"AA",278,"PHX","SEA",0
17,"AA",278,"PHX","SEA",0
18,"AA",278,"PHX","SEA",0
19,"AA",278,"PHX","SEA",0
20,"AA",278,"PHX","SEA",0
21,"AA",278,"PHX","SEA",0
22,"AA",278,"PHX","SEA",1
23,"AA",278,"PHX","SEA",1
24,"AA",278,"PHX","SEA",1
25,"AA",278,"PHX","SEA",0
26,"AA",278,"PHX","SEA",0
27,"AA",278,"PHX","SEA",0
28,"AA",278,"PHX","SEA",0
29,"AA",278,"PHX","SEA",1
1,"AA",134,"MIA","SEA",0
2,"AA",134,"MIA","SEA",0
3,"AA",134,"MIA","SEA",1
4,"AA",134,"MIA","SEA",0
5,"AA",134,"MIA","SEA",0
6,"AA",134,"MIA","SEA",0
7,"AA",134,"MIA","SEA",0
8,"AA",134,"MIA","SEA",0
9,"AA",134,"MIA","SEA",0
10,"AA",134,"MIA","SEA",0
11,"AA",134,"MIA","SEA",0
12,"AA",134,"MIA","SEA",0
13,"AA",134,"MIA","SEA",0
14,"AA",134,"MIA","SEA",1
15,"AA",134,"MIA","SEA",1
16,"AA",134,"MIA","SEA",1
17,"AA",134,"MIA","SEA",0
18,"AA",134,"MIA","SEA",1
19,"AA",134,"MIA","SEA",0
20,"AA",134,"MIA","SEA",0
21,"AA",134,"MIA","SEA",0
22,"AA",134,"MIA","SEA",0
23,"AA",134,"MIA","SEA",0
24,"AA",134,"MIA","SEA",0
25,"AA",134,"MIA","SEA",0
